Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [Pa],Q11 [Pa],Q22 [Pa],Q12 [Pa],Q66 [Pa],Q16 [Pa],Q26 [Pa],Available dimensions
Fiberglass,Chomarat: DIAGONAP DTF 20.72.3.06,2094.23494,0.31,33327371.12,35999646.95,12028392.19,5669495.715,6448469.475,0,0,{w:1270; t:0.69}
Fiberglass,Chomarat: DIAGONAP DT 17.60.3.06,1962.899582,0.32,29277944.86,31531474.13,9700958.565,4675616.971,5202891.057,0,0,{w:1270; t:0.65}
Fiberglass,Chomarat: DIAGONAP DTF 17.38.3.06,1820.657297,0.33,21324060.85,23852639.02,8845539.102,4729337.906,5066921.295,0,0,{w:1270; t:0.60}
Fiberglass,Chomarat: DIAGONAP DTF 14VC.38.3.06,1848.575244,0.53,26417449.63,33507531.06,15461768.82,10470205.35,11031299,0,0,{w:1270; t:0.69}
Fiberglass,Chomarat: DIAGONAP DX FT 13.04,1647.52948,0.33,7114455.462,11140101.6,9541623.641,6197677.013,6429980.305,0,0,{w:1270; t:0.65}
Carbon Fiber,Chomarat: RUBAN CARBONE 9284,1501.578119,0.27,117402989.4,117787698.5,5437118.437,1446274.285,2313360.282,0,0,{w:1270; t:0.60}
Fiberglass,Chomarat: RUBAN 7018 F,1789.131223,0.29,31781282.26,32237769.72,5371734.101,1565927.61,1936859.946,0,0,{w:1270; t:0.49}
Fiberglass,Chomarat: RUBAN 2016,1926.32955,0.28,37883391.34,38408208.61,6546893.06,1853624.159,2397894.504,0,0,{w:1270; t:0.3}
Fiberglass,Chomarat: ROVINAP 42 F2.08,1907.278862,0.17,31096423.17,31397752.95,11062602.83,1825785.204,2215738.549,1.73E-12,2.83E-10,{w:60; t:0.16}
Fiberglass,Chomarat: ROVINAP 24 F.08,1845.389493,0.14,25621733.4,25856794.03,12293880.94,1699943.36,1949640.275,2.47E-12,3.89E-10,{w:100; t:0.2}; {w:117; t:0.2}; {w:124; t:0.2}; {w:130; t:0.2}; {w:140; t:0.2}; 
Fiberglass,Chomarat: ROVINAP 60.08,1820.426419,0.19,29654046.14,29961741.48,8866094.465,1651682.76,1988121.338,1.33E-12,1.94E-10,{w:55; t:0.2}
Fiberglass,Chomarat: G-TAPE 6073FT,1994,0.15,35777981.33,36070951.39,13891849.71,2017398.326,2673643.054,2.44E-12,4.10E-10,{w:1270; t:0.4}
Fiberglass,Chomarat: G-PLY TL360/330 T3/V30,1958.696887,0.33,24469373.16,27562177.41,10817268.79,5784089.805,6279858.455,0,0,{w:1270; t:0.29}
Carbon Fiber,Chomarat: C-PLY SP TBX270 C3.4 12K HS,1388.593434,0.68,6684870.625,25657837.88,25657837.88,22063615.49,22575934.84,313310.9113,313310.9113,{w:1270; t:0.59}
Carbon Fiber,Chomarat: C-TAPE U150P 12K x 43mm,1502.117209,0.26,117846269,118228876.2,5505421.284,1451349.029,2369273.567,1.89E-13,2.81E-12,{w:1270; t:0.08}
Carbon Fiber,Chomarat: C-TAPE U1160P 12K x 30mm,1549.11517,0.19,121992842.8,122293474.7,8338856.607,1583327.618,2565439.916,8.62E-13,1.45E-10,{w:1270; t:0.5}
Carbon Fiber,Chomarat: DIAGOTEX D988C,1535.439013,0.7,10826701.88,38205735.07,37044388.69,31847127.77,32864146.76,0,0,{w:43; t:0.16}
Carbon Fiber,Chomarat: TER2A Tape U90C58L P 12K F,1478.89424,0.2,84527049.35,84853389.8,7910836.979,1606743.953,2280614.893,8.74E-13,1.47E-10,{w:30; t:0.16}
Binding Mat,Chomarat: Volumat: 300T/300,1994,0.08,7591294.766,7774932.967,26177519.58,2192531.097,1586936.523,6.66E-12,1.12E-09,{w:60; t:0.16}
Fiberglass,HongTex: E-LT-400,1962.312253,0.15,30060373.86,30347033.29,13176274.81,1943477.124,2544519.481,2.50E-12,3.83E-10,{w:1270; t:0.3}
Fiberglass,HongTex: E-LT-540,1963.434441,0.13,28830087.67,29091172.12,14507615.87,1946204.756,2549092.256,3.02E-12,4.64E-10,
Fiberglass,HongTex: E-LT-600,1963.025061,0.14,29547842.16,29823066.9,13748185.62,1945209.701,2547424.083,2.72E-12,4.18E-10,{w:55; t:0.4}; {w:1250; t:0.4}
Fiberglass,HongTex: E-LT-660,1965.719758,0.15,30295292.77,30584584.17,13167917.37,1951759.533,2558404.636,2.48E-12,3.81E-10,{w:1270.0; t:0.27}
Fiberglass,HongTex: E-LT-750,1971.577816,0.16,31392083.27,31702690.94,12443831.48,1965998.343,2582275.479,2.17E-12,3.34E-10,{w:1295.4; t:0.37};{w:279.4; t:0.37}
Fiberglass,HongTex: E-LT-830,1971.402533,0.17,31953793.14,32279685.95,11855046.7,1965572.294,2581561.224,1.94E-12,2.98E-10,{w:1219.2; t:0.41};{w:220.2; t:0.41};{w:317.5; t:0.41};{w:330.2; t:0.41}
Fiberglass,HongTex: E-LT-980,1974.745473,0.15,30827005.41,31121263.51,13238319.85,1973697.768,2595183.285,2.48E-12,3.80E-10,{w:1219.2; t:0.45};{w:1295.4; t:0.45};{w:317.5; t:0.45};{w:330.2; t:0.45}
Fiberglass,HongTex: E-LT-660-10C,1961.209514,0.15,31865974.74,32156116.31,13138926.4,1952472.48,2570889.947,2.47E-12,3.78E-10,{w:1270.0; t:0.5};{w:322.6; t:0.5};{w:323.8; t:0.5};{w:340.4};{w:349.2; t:0.5};{w:355.6; t:0.5}
Fiberglass/Carbon,HongTex: EC-DBL-635,1879.692201,0.3,42352811.78,44434159,9299337.12,4399448.773,5081043.58,0,0,{w:323.8; t:0.56};{w:355.6; t:0.56}
Fiberglass/Carbon,HongTex: EC-DBL-800-30M,1917.752621,0.3,35831223.11,37993536.23,9550062.919,4544252.005,5129004.724,0,0,{w:1270.0; t:0.66}
Fiberglass,HongTex: E-DBL-670-30M,1947.333512,0.28,31938121.71,32594152.29,7019834.405,2145979.049,2528962.104,0,0,{w:1270.0; t:0.57};{w:323.8; t:0.57};{w:342.9; t:0.57}
