Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [Pa]
Fiberglass,Chomarat: DIAGONAP DTF 20.72.3.06,2094.23494,0.31,33327371.12
Fiberglass,Chomarat: DIAGONAP DT 17.60.3.06,1962.899582,0.32,29277944.86
Fiberglass,Chomarat: DIAGONAP DTF 17.38.3.06,1820.657297,0.33,21324060.85
Fiberglass,Chomarat: DIAGONAP DTF 14VC.38.3.06,1848.575244,0.53,26417449.63
Fiberglass,Chomarat: DIAGONAP DX FT 13.04,1647.52948,0.33,7114455.462
Carbon Fiber,Chomarat: RUBAN CARBONE 9284,1501.578119,0.27,117402989.4
Fiberglass,Chomarat: RUBAN 7018 F,1789.131223,0.29,31781282.26
Fiberglass,Chomarat: RUBAN 2016,1926.32955,0.28,37883391.34
Fiberglass,Chomarat: ROVINAP 42 F2.08,1907.278862,0.17,31096423.17
Fiberglass,Chomarat: ROVINAP 24 F.08,1845.389493,0.14,25621733.4
Fiberglass,Chomarat: ROVINAP 60.08,1820.426419,0.19,29654046.14
Fiberglass,Chomarat: G-TAPE 6073FT,1994,0.15,35777981.33
Fiberglass,Chomarat: G-PLY TL360/330 T3/V30,1958.696887,0.33,24469373.16
Carbon Fiber,Chomarat: C-PLY SP TBX270 C3.4 12K HS,1388.593434,0.68,6684870.625
Carbon Fiber,Chomarat: C-TAPE U150P 12K x 43mm,1502.117209,0.26,117846269
Carbon Fiber,Chomarat: C-TAPE U1160P 12K x 30mm,1549.11517,0.19,121992842.8
Carbon Fiber,Chomarat: DIAGOTEX D988C,1535.439013,0.7,10826701.88
Carbon Fiber,Chomarat: TER2A Tape U90C58L P 12K F,1478.89424,0.2,84527049.35
Binding Mat,Chomarat: Volumat: 300T/300,1994,0.08,7591294.766
Fiberglass,HongTex: E-LT-400,1962.312253,0.15,30060373.86
Fiberglass,HongTex: E-LT-540,1963.434441,0.13,28830087.67
Fiberglass,HongTex: E-LT-600,1963.025061,0.14,29547842.16
Fiberglass,HongTex: E-LT-660,1965.719758,0.15,30295292.77
Fiberglass,HongTex: E-LT-750,1971.577816,0.16,31392083.27
Fiberglass,HongTex: E-LT-830,1971.402533,0.17,31953793.14
Fiberglass,HongTex: E-LT-980,1974.745473,0.15,30827005.41
Fiberglass,HongTex: E-LT-660-10C,1961.209514,0.15,31865974.74
Fiberglass/Carbon,HongTex: EC-DBL-635,1879.692201,0.3,42352811.78
Fiberglass/Carbon,HongTex: EC-DBL-800-30M,1917.752621,0.3,35831223.11
Fiberglass,HongTex: E-DBL-670-30M,1947.333512,0.28,31938121.71
Fiberglass,HongTex: E-DBL-680-30M,1979.123636,0.3,24087271.64
Fiberglass,HongTex: E-DBL-800-30M,1973.460669,0.3,23876342.43
Fiberglass,HongTex: E-DBL-950-30M,1976.88987,0.3,21079034.75
Fiberglass,HongTex: E-DBL-1150-30M,1979.852828,0.3,26586196.44
Fiberglass,HongTex: 9 oz. Uni,2290.53,0.28,42240000000
Fiberglass,HongTex: 13 oz. Uni,1974.610389,0.28,36803112.44
Fiberglass,HongTex: 17 oz. Uni,2955.9,0.28,42240000000
Fiberglass,HongTex: K2-20,1965.741579,0.15,30285012.03
Fiberglass,HongTex: K2-22,1968.749298,0.16,31241154.34
Flax,BComp: AMPLITEX 5057-6,1340,0.34,31800000
Carbon/Flax,BComp: Amplitex 115gsm-C 125gsm-F - 52mm,1450,0.33,48263300000
Carbon Fiber,A&P Technology: BIMAX 374,1520,0.68,9617355.592
Carbon Fiber,A&P Technology: UNI-4.0-SM,1520,0.26,118500000
Carbon Fiber,HongTex: TWILL-3K,1520,0.33,62393340.31
Precure laminate,Hexcel: Polyspeed GC-EV 530B,1770.44487,0.23,74878543.48
Precure laminate,Hexcel: Polyspeed GC-EV 750B,1790.189789,0.25,67706488.45
Precure laminate,Hexcel: Polyspeed GC-EV BB566,1905.123337,0.4,13497414.87
Precure laminate,Hexcel: Polyspeed HMGC-EV 606B,1892.86251,0.24,54169654.01
Precure laminate,Hexcel: Polyspeed NR-C/Flax EV 405B,1515.157859,0.25,70488078.87
Precure laminate,Hexcel: G-EV 696R,1994,0.15,31598370.79
Fleece,Nico Fiber,1980,0.33,3447380000
Binding Mat,Owens Corning: GLASS MAT M723 450gsm,1994,0.33,7075200
Binding Mat,Owens Corning: GLASS MAT M723 600gsm,1994,0.33,7075200
Braid,Glass - Braid,1980,0.33,9652660.206
Braid,Glass - Rovings in braid,1980,0.33,40679068.01
Fleece,XuRui: G50 Fleece Veil,1577,0.33,3447380000
Fleece,XuRui:G100 Fleece Veil,1577,0.33,3447380000
Core - Wood,Ash,680,0.33,12310000
Core - Wood,Aspen,450,0.33,9750000
Core - Wood,Paulownia,280,0.33,5600000
Core - Wood,Hard Maple,705,0.33,12620000
Core - Wood,Soft Maple,550,0.33,11300000
Core - Wood,European Beech,710,0.33,14310000
Core - Wood,Birch,740,0.33,13860000
Core - Wood,Bamboo,1150,0.33,12600000
Core - Wood,Fir,415,0.33,10240000
Core - Wood,Poplar - Light,370,0.33,7590000
Core - Wood,Poplar,412.5,0.33,9245000
Core - Wood,Poplar - Dense,455,0.33,10900000
Core - Composite,WBK # N21 - Offset Stringer (1x): Pal/Map,421.88,0.33,6894760000
Core - Composite,WBK # N12 - Offset Stringer (2x): Asp/Map,604.4,0.33,13444780000
Core - Composite,WBK # N3 - Solid: Asp Veneer,570.3,0.33,9307920000
Core - Composite,WBK # N5 - Alternating: Fir/Asp,531.63,0.33,11548720000
Core - Composite,WBK # N8 - Double Barrel: Fir/Asp,532.78,0.33,11548720000
Core - Composite,WBK # N2 - Solid: Asp,498.79,0.33,9307920000
Core - Composite,WBK # N4 - Solid: Pal,321,0.33,5033170000
Core - Composite,WBK # N13 - Offset Stringers (1x): Asp/Map,546.51,0.33,10859240000
Core - Composite,WBK # N14 - Alternating Asp/Pal,416.39,0.33,11548720000
Core - Foam,Isosport: IsoCore 150,150,0.33,185000000
Core - Foam,Isosport: IsoCore 250,250,0.33,300000000
Core - Foam,Armacell: Struct GRX 100,100,0.33,120000000
Core - Foam,Armacell: Struct GRX 115,115,0.33,140000000
Core - Foam,Armacell: Struct GRX 150,150,0.33,185000000
Core - Foam,Armacell: Struct GRX 250,250,0.33,300000000
Steel,CDW: Steel Edge,8050,0.33,2.07E+11
Steel,Freidrich: Steel Edge,8050,0.33,2.07E+11
Titanal,AMAG: Titanal,2700,0.33,68947570000
Sintered base material,Crown: DS 4001,970,0.33,1516850000
Extruded base material,Crown: F7501,970,0.33,1516850000
Sintered base material,CPS: P-Tex 4504,970,0.33,1516850000
Sintered base material,CPS: P-Tex 3000,970,0.33,1516850000
Sintered base material,CPS: P-Tex 2100,970,0.33,1516850000
Sintered base material,CPS: P-Tex 2000,970,0.33,1516850000
Extruded base material,CPS: P-Tex 1100,970,0.33,1516850000
Extruded base material,CPS: P-Tex 900,970,0.33,1516850000
Top Material,Watom: Duraclear 117,1070,0.33,1723690000
Top Material,Watom: Duraclear 111,1070,0.33,1723690000
Top Material,Watom: 210,1070,0.33,1723690000
Top Material,Watom: 211,1070,0.33,1723690000
Sintered base material,Isosport: IS 4800,970,0.33,1516850000
TPU,Isosport: TPU IE 3200 SM 2EV 031,1370,0.33,2068430000
Top Material,Isosport: ICP 5275,1070,0.33,1723690000
Top Material,Isosport: ICP 5278,1070,0.33,1723690000
Plastic,CPS: TP455,750,0.33,750000000
Rubber,Semperit: Haberkorn Rubber,1070,0.33,344740000
Urethane,Argotec: Urethane,1070,0.33,344740000
Sidewall,CPS: ABS/TPU Sidewall,1070,0.33,2068430000
Sidewall,IMS Plast: CPAN 125 GT2 ABS,1070,0.33,2068430000
Sidewall,Crown: DS2000 UHMWPE,970,0.33,2068430000
PU Foam,BASF: Modipur injection foam,600,0.33,20340000
Precure laminate,Hexcell: G-R80 Laminate,1980,0.33,40679070000
Precure laminate,Hexcell: G-EV R68,1980,0.33,40679070000
Precure laminate,Hexcell: G-EV 765R,1980,0.33,40679070000
Precure laminate,Hexcell: G-EV R82,1980,0.33,40679070000
Steel,CDW: Kaltbandstahl C75S,8050,0.33,2.07E+11
3D Print,3D Printed ABS,970,0.33,2068430000
3D Print,3D Printed PP,970,0.33,2068430000
3D Print,3D Printed TPU,970,0.33,2068430000
Carbon Fiber,Carbon Conversions: re-Evo MCF-SB 200gsm,1368.4,0.33,21218410000
Wood,BComp: BCore 300 XL,300,0.33,6200000000
Plastic - Weighted,Ecomass: 4703ZC71 - TPU/SS - 3.0g/cc,3000,0.33,51700000000
Plastic - Weighted,Ecomass: 4703ZC76 - TPU/SS - 3.4g/cc,3400,0.33,51700000000
Plastic - Weighted,Ecomass: 4703ZC87 - TPU/SS - 4.5g/cc,4500,0.33,72400000000
PU Material,Freudenberg: Enkamat 7210,10,0.33,1000
Plastic,Desmovit: DP R 3918,970,0.33,2068430000
Plastic,Geba: TPU 3918,1370,0.33,2068430000
Plastic,Geba: TPU 3919,1370,0.33,2068430000
Sidewall,Socrep: TPU 511/519,1200,0.33,20000000
Carbon Fiber,ITOCHU: HS40 F22 12K 800 tex Carbon Roving,1577,0.33,68947570000
Carbon Fiber,ITOCHU: HS40 E13 6K 400 tex Carbon Roving,1577,0.33,68947570000
Injection,BASF: E1160D50 TPU,1370,0.33,2068430000
Injection,BASF: 1165D50STR TPU,1370,0.33,2068430000
Injection,BASF: 1154D50 TPU,1370,0.33,2068430000
