csv_name,category,json_file,json_key,match_type,notes
Chomarat: DIAGONAP DTF 20.72.3.06,Fiberglass,orthotropicMaterials.json,Chomarat:DIAGONAP DTF 20.72.3.06,normalized,
Chomarat: DIAGONAP DT 17.60.3.06,Fiberglass,orthotropicMaterials.json,Chomarat:DIAGONAP DT 17.60.3.06,normalized,
Chomarat: DIAGONAP DTF 17.38.3.06,Fiberglass,orthotropicMaterials.json,Chomarat:DIAGONAP DTF 17.38.3.06,normalized,
Chomarat: DIAGONAP DTF 14VC.38.3.06,Fiberglass,orthotropicMaterials.json,Chomarat:DIAGONAP DTF 14VC.38.3.06,normalized,
Chomarat: DIAGONAP DX FT 13.04,Fiberglass,orthotropicMaterials.json,Chomarat:DIAGONAP DX FT 13.04,normalized,
Chomarat: RUBAN CARBONE 9284,Carbon Fiber,orthotropicMaterials.json,Chomarat:RUBAN CARBONE 9284,normalized,
Chomarat: RUBAN 7018 F,Fiberglass,orthotropicMaterials.json,Chomarat:RUBAN 7018 F,normalized,
Chomarat: RUBAN 2016,Fiberglass,orthotropicMaterials.json,Chomarat:RUBAN 2016,normalized,
Chomarat: ROVINAP 42 F2.08,Fiberglass,orthotropicMaterials.json,Chomarat:ROVINAP 42 F2.08,normalized,
Chomarat: ROVINAP 24 F.08,Fiberglass,orthotropicMaterials.json,Chomarat:ROVINAP 24 F.08,normalized,
Chomarat: ROVINAP 60.08,Fiberglass,orthotropicMaterials.json,Chomarat:ROVINAP 60.08,normalized,
Chomarat: G-TAPE 6073FT,Fiberglass,orthotropicMaterials.json,Chomarat:G-TAPE 6073FT,normalized,
Chomarat: G-PLY TL360/330 T3/V30,Fiberglass,orthotropicMaterials.json,Chomarat:G-PLY TL360/330 T3/V30,normalized,
Chomarat: C-PLY SP TBX270 C3.4 12K HS,Carbon Fiber,orthotropicMaterials.json,Chomarat:C-PLY SP TBX270 C3.4 12K HS,normalized,
Chomarat: C-TAPE U150P 12K x 43mm,Carbon Fiber,orthotropicMaterials.json,Chomarat:C-TAPE U150P 12K F x 43mm,confirmed,
Chomarat: C-TAPE U1160P 12K x 30mm,Carbon Fiber,orthotropicMaterials.json,Chomarat:C-TAPE U1160P 12K F x 30mm,confirmed,
Chomarat: DIAGOTEX D988C,Carbon Fiber,orthotropicMaterials.json,Chomarat:DIAGOTEX D988C,normalized,
Chomarat: TER2A Tape U90C58L P 12K F,Carbon Fiber,orthotropicMaterials.json,Chomarat:TER2A Tape U90C58L P 12K F,normalized,
Chomarat: Volumat: 300T/300,Binding Mat,,,none,NEEDS_RESEARCH
