Category,Name,Density [kg/m^3],Poisson's Ratio,Young's Modulus [GPa],Q11 [GPa],Q22 [GPa],Q12 [GPa],Q66 [GPa],Q16 [GPa],Q26 [GPa],CTE_x [1/K],CTE_y [1/K],Available dimensions
Fiberglass,Chomarat: DIAGONAP DTF 20.72.3.06,2080.26,0.474953,33.2961,35.9784,11.8905,5.64742,6.48763,0,0,5.76246e-06,5.19483e-06,{w:1270; t:0.69}
Fiberglass,Chomarat: DIAGONAP DT 17.60.3.06,1962.9,0.48339,29.7517,32.0415,9.79917,4.73682,5.37105,0,0,6.17712e-06,5.29818e-06,{w:1270; t:0.65}
Fiberglass,Chomarat: DIAGONAP DTF 17.38.3.06,1820.66,0.537813,21.6456,24.2199,8.90015,4.78661,5.25048,0,0,6.84866e-06,5.67044e-06,{w:1270; t:0.60}
Fiberglass,Chomarat: DIAGONAP DTF 14VC.38.3.06,1848.58,0.640854,28.1122,33.8414,13.9501,8.93999,9.63323,0,0,4.56144e-06,-2.64737e-06,{w:1270; t:0.69}
Fiberglass,Chomarat: DIAGONAP DX FT 13.04,1647.53,0.657747,7.2631,11.5137,9.82504,6.46239,6.79491,0,0,7.52063e-06,7.10885e-06,{w:1270; t:0.65}
Carbon Fiber,Chomarat: RUBAN CARBONE 9284,1501.58,0.264369,119.286,119.663,5.39503,1.42628,2.35457,0,0,-4.20203e-06,-4.73549e-06,{w:1270; t:0.60}
Fiberglass,Chomarat: RUBAN 7018 F,1789.13,0.290177,33.1231,33.582,5.44994,1.58145,2.03039,0,0,6.87599e-06,4.77405e-06,{w:1270; t:0.49}
Fiberglass,Chomarat: RUBAN 2016,1926.33,0.282144,39.44,39.9739,6.70634,1.89215,2.50555,0,0,6.18787e-06,4.87982e-06,{w:1270; t:0.3}
Fiberglass,Chomarat: ROVINAP 42 F2.08,1907.28,0.162634,32.1297,32.4288,11.3101,1.83941,2.41512,0,0,6.22472e-06,5.5809e-06,{w:60; t:0.16}
Fiberglass,Chomarat: ROVINAP 24 F.08,1845.39,0.13434,26.774,27.003,12.6922,1.70507,2.21412,0,0,6.37864e-06,5.91322e-06,{w:100; t:0.2}; {w:117; t:0.2}; {w:124; t:0.2}; {w:130; t:0.2}; {w:140; t:0.2}; 
Fiberglass,Chomarat: ROVINAP 60.08,1820.43,0.18437,30.1574,30.4607,8.92155,1.64486,2.10858,0,0,6.76464e-06,5.57945e-06,{w:55; t:0.2}
Fiberglass,Chomarat: G-TAPE 6073FT,1994,0.145342,35.7291,36.0223,13.8806,2.01744,2.67364,0,0,6.07503e-06,5.51113e-06,{w:1270; t:0.4}
Fiberglass,Chomarat: G-PLY TL360/330 T3/V30,1958.7,0.536794,24.9016,28.0561,10.9478,5.8767,6.50738,0,0,6.16609e-06,5.45397e-06,{w:1270; t:0.29}
Carbon Fiber,Chomarat: C-PLY SP TBX270 C3.4 12K HS,1517.89,0.863233,9.58452,37.6181,37.6181,32.4741,33.4919,0.467549,0.467549,-4.26607e-06,-4.26607e-06,{w:1270; t:0.59}
Carbon Fiber,Chomarat: C-TAPE U150P 12K x 43mm,1502.12,0.263973,119.776,120.163,5.56062,1.46785,2.40089,0,0,-4.14707e-06,-2.67966e-06,{w:1270; t:0.08}
Carbon Fiber,Chomarat: C-TAPE U1160P 12K x 30mm,1549.12,0.170829,118.911,119.183,9.32831,1.59355,2.57453,0,0,-4.215e-06,-1.03641e-07,{w:1270; t:0.5}
